PROIZVOD,SPAR_CENA,MERKATOR_CENA,TUS_CENA,NAJCENEJSI,RAZLIKA_EUR
PARADIŽNIK SLIVOV LUŠT, 300G, SLOVENIJA,3.49,,3.99,spar,0.50
Drobno mleti mandlji, Dr. Oetker, 100 g,4.39,4.44,4.69,spar,0.30
KISLA REPA, KMETIJA POŽAR, 1KG, SLOVENIJA...,2.99,3.79,3.90,spar,0.91
ČESEN SLO ČESNEK, 150G, PAKIRANO,2.59,,1.99,tus,0.60
Mleti mandlji, Odlično, 200 g,3.77,3.79,4.39,spar,0.62
Kislo Zelje s Poprom in Lovorjem SLO pakirano 1 kg,1.99,1.99,1.99,merkator,0.00
MANDLJI, GROBO MLETI, DR. OETKER, 100G,4.39,,4.69,spar,0.30
BELO ZELJE REZANO IN OČIŠČENO, 300G,1.19,,1.29,spar,0.10
Suho sadje Mega mix, Odlično, 250 g,3.49,3.79,,spar,0.30
Praženi lešniki, Odlično, 200 g,6.98,6.99,,spar,0.01
Kislo zelje, Natureta, 500 g, pakirano,1.59,1.59,3.09,merkator,1.50
MEŠANA SOLATA ALLEGRIA, S-BUDGET, 180G,1.09,,1.09,spar,0.00
Rdeče pomaranče, pakirano, 1 kg,1.00,1.99,,spar,0.99
BIO MANDLJI MLETI, AGONA, 200G,5.18,3.59,3.39,tus,1.79
KROMPIR POLONCA, POREKLO SLOVENIJA, 2,5KG, PAKI...,2.79,,2.99,spar,0.20
Jogurt Zelene Doline, tekoči, borovnica, 1,1 % m.m., 500g,1.49,,1.55,spar,0.06
Alpsko mleko brez laktoze, Lahkoten dan, 1,5 m.m., 6/1,11.79,,11.79,spar,0.00
Jogurt Mu, tekoči, 3,2% mm, tt, 1kg,1.19,,2.29,spar,1.10
SADNI JOGURT GOZDNI SADEŽI, S-BUDGET, 150G...,0.29,0.29,0.39,merkator,0.10
Tolminska skuta, 5 % m.m., Planika, 500 g,3.69,3.89,,spar,0.20
Namaz Philadelphia Original Natur 175g,3.18,,3.19,spar,0.01
GRŠKI ODCEJEN JOGURT 0% M.M. TOTAL, FAGE, 150G...,1.88,1.89,2.09,spar,0.21
Sir mozzarella light, Galbani, pakirano, 125 g,1.65,1.69,,spar,0.04
SVEŽE KVAŠENO LISTNATO TESTO, TANTE FANNY, 400G...,2.69,,1.59,tus,1.10
GRŠKI TIP JOGURTA VANILIJA DUKATOS, DUKAT, 150G...,1.19,,1.25,spar,0.06
Sir Edamec Zelene Doline, poltrdi, brez laktoze, 45 % m.m., 300 g,5.18,5.99,5.99,spar,0.81
Smetana za kuhanje, 10 % m.m., brez laktoze, Meggle, 200 ml,1.59,1.18,1.59,merkator,0.41
Sir mozzarella Bella Napoli, Mu Cuisine, pakirano, 250 g,4.19,4.19,,merkator,0.00
KISLA SMETANA MU CUISINE, 180G,1.29,,1.29,spar,0.00
Grški tip jogurta, med in vanilija, Mu Athentikos, 150 g,1.18,1.19,,spar,0.01
BOŽIČNI DESERTNI JOGURT, ZELENE DOLINE, 180G...,0.99,0.99,0.99,merkator,0.00
MLEČNI NAMAZ Z ZELENJAVO DUKATELA, DUKAT, 150G...,1.97,1.99,1.95,tus,0.04
Mlečni desert Monte Maxi, Zott, 4 x 100 g,2.89,2.99,2.89,spar,0.10
Jogurt zgoščen Mu, Skyr, mango, pasijonka, 2 x 140 g,1.99,,1.99,spar,0.00
Sirni namaz, Philadelphia, 300 g,3.98,3.99,,spar,0.01
Namaz ABC Sveži Kremni Sir z Drobnjakom 100g,1.48,,1.49,spar,0.01
SMETANA ZA KUHANJE LIGHT BRZO&FINO, DUKAT, 500G...,3.19,3.29,3.35,spar,0.16
MASLENI NAMAZ ALPINESSE CLASSIC, MEGGLE, 250G...,4.58,4.59,4.59,spar,0.01
Puding protein Zott, čokolada, 200 g,1.23,,1.25,spar,0.02
PUDING ČOKOLADA PROTEIN, ZOTT, 200G,1.23,,1.25,spar,0.02
Trdi sir Grana Padano, Galbani, ZOP, pakirano, 200 g,5.99,5.99,,merkator,0.00
SMETANA ZA KUHANJE S-BUDGET, 200G,0.67,,1.29,spar,0.62
Trajno kozje mleko Lactel, Dukat, 1 l,1.59,1.59,2.19,merkator,0.60
Testo listnato,sveže Backini, 275g,0.75,,1.99,spar,1.24
SIRNI NAMAZ NATUR, PHILADELPHIA, 175G,3.18,3.19,,spar,0.01
Skuta Ricotta, Galbani, 250 g,2.19,2.19,,merkator,0.00
ČOKOLADNO MLEKO, LJUBLJANSKE MLEKARNE, 200ML...,0.72,0.72,0.59,tus,0.13
Čokoladno Alpsko Mleko 3 x 0,2 L,0.77,,2.31,spar,1.54
TEKOČI SADNI JOGURT GOZDNI SADEŽI, MU, 1000G...,2.49,1.79,,merkator,0.70
DESERT, JOGURT Z VANILIJO, ZELENE DOLINE, 150G...,0.98,,1.09,spar,0.11
Smetana za kuhanje, 20 % m.m., Meggle, 500 ml,1.49,3.89,,spar,2.40
TOPLJENI SIR, CLASSIC, ZDENKA, 280 G, 16/1...,4.59,4.69,,spar,0.10
GRŠKI TIP JOGURTA MYTHOS, ZELENE DOLINE, 150G...,1.08,1.09,,spar,0.01
ALPSKA SMETANA ZA STEPANJE, MU CUISINE, 0,2L...,2.39,,2.39,spar,0.00
Jogurt Ego s proteini, borovnica in sivka, Ljubljanske Mlekarne, 330 g,1.68,1.69,1.75,spar,0.07
Njoki Crivellin, krompirjevi, 500g,1.49,,2.59,spar,1.10
TEKOČI JOGURT ALOE VERA IN PASIJONKA, EGO, 500G...,1.69,,1.69,spar,0.00
NESLANO MASLO MOTTE TENDRE, PRESIDENT, 250G...,4.27,4.29,,spar,0.02
Sadni jogurt višnja, 2,5 % m.m., Zelene Doline, 250 g,0.89,0.89,,merkator,0.00
Masleni namaz, Pomurske mlekarne, 125 g,2.39,2.99,2.79,spar,0.60
SMETANA ZA KUHANJE 10% M.M., MEGGLE, 500ML ...,2.39,,3.89,spar,1.50
Sir ementalec, brez laktoze, Zelene Doline, pakirano, 300 g,4.98,5.69,5.49,spar,0.71
Bakalar Na Belo, delikatesni sirni namaz, 150g,1.19,,2.14,spar,0.95
Delikatesna margarina Extra, Zvijezda, 250 g,1.08,1.09,,spar,0.01
MLEČNA REZINA KINDER PINGUI KOKOS, FERRERO, 30G...,0.64,0.69,2.35,spar,1.71
Poltrdi lahki sir Livada, brez laktoze, Pomurske mlekarne, pakirano, 3,5.99,5.99,,merkator,0.00
Namaz Philadelphia, brez laktoze, 150 g,3.18,,3.19,spar,0.01
Poltrdi sir Livada, brez laktoze, Pomurske mlekarne, pakirano, 300 g,6.29,6.49,,spar,0.20
Tekoči Sadni Jogurt MU Borovnica 1.3 % m.m. 1 L,2.49,,2.49,spar,0.00
MLEČNA REZINA KINDER MAXI KING, FERRERO, 3X35G...,2.39,2.39,2.39,merkator,0.00
Nakup paketa izdelkov Sirni namaz z zelišči, Philadelphia, 175 g €,3.18,3.19,3.19,spar,0.01
TEKOČI JOGURT NARAVNI EGO, LJ. MLEKARNE, 500G...,1.69,,1.74,spar,0.05
Bio nepasirana skuta, MU cuisine, 40% m.m., 500 g,3.79,4.29,,spar,0.50
SMETANA ZA KUHANJE BRZO&FINO, DUKAT, 200G...,1.84,1.89,1.85,spar,0.05
KAVOVINA KNEIPP, FRANCK, 250G,3.18,,3.19,spar,0.01
Mlečni desert, jogurt s pomarančo in čokoladnimi kroglicami, Zelene Do,0.98,1.19,1.25,spar,0.27
Margarina, Pro Activ, 400 g,5.49,5.49,,merkator,0.00
Namaz mlečni Mu, z grškim jogurtom, 140 g,2.19,,2.19,spar,0.00
Desert Zott, proteinski, mousse, okus čokolade, 200 g,1.58,,1.58,spar,0.00
TEKOČI JOGURT BREZ LAKTOZE, 1,6% M.M., MU, 330G...,1.49,1.49,,merkator,0.00
Ribani sir mozzarella, Galbani, pakiran, 150 g,2.89,2.99,,spar,0.10
Sadni jogurt, gozdni sadeži, 1,1 % m.m., Zelene Doline, 500 g,1.39,1.59,1.53,spar,0.20
Lahki sir Jošt, s proteini, President, pakirano, 370 g,5.48,5.49,,spar,0.01
Kozji sir blagi, Landana, pakirano, 200 g,5.79,5.99,,spar,0.20
Sir z olivami in paradižnikom, Landana, pakirano, 200 g,4.65,4.69,,spar,0.04
Namaz mastni Rama, classic, 225g,1.37,,1.37,spar,0.00
Namaz mastni Rama, classic, 400 g,2.18,,2.18,spar,0.00
Sveže vlečeno testo, Zlato Polje, 300 g,2.45,2.59,,spar,0.14
Sir Emmental rezine, Meggle, pakirano, 125 g,2.29,2.29,,merkator,0.00
Margarina, rastlinski namaz s soljo, Rama, 200 g,1.99,1.99,,merkator,0.00
POLNOZRNATO VLEČENO TESTO, ZLATO POLJE, 500G...,3.65,,3.29,tus,0.36
Napitek Zott, proteinski, z okusom piškota in smetane, 250 ml,1.19,,1.29,spar,0.10
Mehki polnomastni sir v slanici Salakis, President, pakirano, 250 g,3.58,3.59,,spar,0.01
Margarina Margo Nova, Zvijezda, 400 g,1.98,1.99,,spar,0.01
Alpsko mleko s proteini, 0,5 % m.m., Ljubljanske mlekarne, 1 l,1.99,1.99,1.99,merkator,0.00
Domači kajmak, Poljorad, pakirano, 200 g,3.29,3.39,,spar,0.10
Jogurt proteini EGO, brez laktoze, češnja, hibiskus, 330 g,1.68,1.69,1.75,spar,0.07
Jogurt s proteini, banana in ingver, Ego, 330 g,1.68,1.69,,spar,0.01
Naravni jogurt s proteini, Ego, 330 g,1.68,1.69,,spar,0.01
BIO RIŽEV DESERT S ČOKOLADO, THE BRIDGE, 2X130G...,2.59,2.59,,merkator,0.00
PREDPEČENO TESTO PINSA ROMANA, DI MARCO, 230G...,2.88,2.99,,spar,0.11
GRŠKI ODCEJEN JOGURT, 0% M.M, TOTAL, FAGE, 450G...,4.19,4.19,,merkator,0.00
Margarina za peko, Rama, 500 g,2.48,2.69,,spar,0.21
Kislo mleko Zelene Doline, tekoče, 3,2 % m.m., 500 g,1.24,1.09,1.49,merkator,0.40
TOPLJENI SIR ČARDAŠ, ZDENKA RETRO, 8/1, 140G...,2.45,2.49,,spar,0.04
NAMAZ Z MASLOM BREZ LAKTOZE, MINUSL, 200G...,2.15,1.85,,merkator,0.30
PASIRANA SKUTA, MU CUISINE, 500G,3.79,,3.99,spar,0.20
Margarina za peko, Rama, 250 g,1.25,1.29,1.25,spar,0.04
SIR BRITISH CHEDDAR MATURE, PRESIDENT, 200G...,3.78,3.79,,spar,0.01
Testo vlečeno Jami ekstra tanko sveže, 500g,3.58,,3.59,spar,0.01
Rezine sira Emmental, Frico, pakirano, 150 g,2.88,3.29,,spar,0.41
Sadni jogurt z vanilijo in podloženimi marelicami, Zelene Doline, 150 ,0.84,1.09,1.05,spar,0.25
MLEČNI DESERT ANGRY BIRDS MONTE, ZOTT, 125G...,1.18,,1.19,spar,0.01
Alpsko mleko, Barista, 2,8 % m.m., 1 l,1.99,1.99,,merkator,0.00
NEPASIRANA SKUTA 35% M.M., MU CUSINE, 1KG...,7.49,4.89,,merkator,2.60
Čokoladno Mleko Dukat Fit 0.5 % m.m. 0,5 L,1.44,1.44,2.09,merkator,0.65
Naravni Lahki Tekoči Jogurt Zelene Doline 1.3 % m.m. 1 kg,1.99,,2.19,spar,0.20
Tekoči Probiotični Jogurt LCA Nula Zelene Doline Brez Sladkorja Malina,1.28,1.49,1.95,spar,0.67
Mlečni desert Monte Choco Flakes, Zott, 125 g,0.98,0.99,,spar,0.01
Puding s čokolado in lešniki, Vindija, 125 g,1.34,1.35,1.35,spar,0.01
Namaz kremni Gusto, pistacija, 200 g,1.48,3.49,6.19,spar,4.71
Caffe Latte Espresso Zero, brez sladkorja, Emmi, 230 ml,2.20,1.99,,merkator,0.21
Grški tip jogurta, borovnica, Mu Athentikos, 150 g,1.18,1.19,,spar,0.01
Poltrdi sir Dolinar, brez laktoze, Zelene Doline, pakirano, 300 g,6.28,6.69,6.29,spar,0.41
Mleko Alpsko, polnomastno, TBA edge, 6x1l,9.49,,9.49,spar,0.00
Rezine sira Dolinar, Zelene Doline, pakirano, 150 g,3.48,3.49,,spar,0.01
TOPLJENI SIR ZA MAZANJE, RETRO, ZDENKA, 140 G...,2.45,2.49,,spar,0.04
Sladka sirotka, Mlekarna Planika, 1 l,1.38,1.49,,spar,0.11
Ribani sir Livada, Pomurske Mlekarne, pakirano, 250 g,4.99,4.99,,merkator,0.00
ALPSKO MLEKO ČOKOLADNO, 1L,2.08,,2.09,spar,0.01
ALPSKO MLEKO ČOKOLADNO, 0,5L,1.44,,1.55,spar,0.11
MASLENI NAMAZ ALPINESSE SLANI, MEGGLE, 250G...,4.58,4.59,,spar,0.01
Smetanov jogurt s čokolado, 7,8 % m.m., Zelene Doline, 150 g,2.14,2.29,1.02,tus,1.27
Čokoladno mleko, Dukat, 1 l,1.99,1.89,1.99,merkator,0.10
Poltrdi sir Trapist, brez laktoze, Zelene Doline, pakirano, 300 g,5.28,5.99,5.29,spar,0.71
