name,price,sale_price,store,date
"100% SOK MULTIVITAMINČEK, LESKOVAR, 1L",5.59,,Spar,2026-01-02 00:00:00
"100% SOK POMARANČA HAPPY DAY, RAUCH, 1L",3.49,,Spar,2026-01-02 00:00:00
"100% SOK POMARANČA, BREZ DELCEV, FRUCTAL SUPERIOR, 1L",3.65,,Spar,2026-01-02 00:00:00
"100% SOK POMARANČA, DANA, 1L",2.99,,Spar,2026-01-02 00:00:00
"100% SOK RDEČA PESA, FRUCTAL NATURA, 0,7L",3.19,,Spar,2026-01-02 00:00:00
"100% SOK RDEČA PESA, PRESAD, 1L",3.99,,Spar,2026-01-02 00:00:00
"100% SOK RDEČE PESE, DANA, 1L",3.59,,Spar,2026-01-02 00:00:00
"100% SOK RDEČE SADJE MULTIVITAMIN, FRUCTAL SUPERIOR, 1L",2.49,,Spar,2026-01-02 00:00:00
"100% SOK TROPICAL, DANA, 1L",2.19,,Spar,2026-01-02 00:00:00
"1000 VPRAŠANJ, LISCIANI, 1/1",19.99,,Spar,2026-01-02 00:00:00
"2-FAZNI ODSTRANJEVALEC LIČIL ZA OČI Z BIO ALOE VERO, ALTERRA, 100ML",2.29,,Spar,2026-01-02 00:00:00
20-DELNI SET OKRASKOV,1,,Spar,2026-01-02 00:00:00
"3 RIŽI, ZLATO POLJE, 800G",5.45,,Spar,2026-01-02 00:00:00
3-barvni-mix-zlato-polje-800-g,5.49,,Tus,2026-01-02 00:00:00
"3-DELNI SET ZA SOLATO TAVERNO, WMF, 1/1",44.9,,Spar,2026-01-02 00:00:00
3-rizi-rjavi-rdeci-crni-riz-zlato-polje-800-g,5.49,,Tus,2026-01-02 00:00:00
35-DELNI SET OKRASKOV,6,,Spar,2026-01-02 00:00:00
35-DELNI SET OKRASKOV,12.99,,Spar,2026-01-02 00:00:00
"3D ZABAVNO MODRO PISALO, FREE2PLAY, 1/1",29.9,,Spar,2026-01-02 00:00:00
